DomainID	Chr	StartLoc	EndLoc	Radius(nm)	EpiClass
443	3L	264550	326149	63.35	Active
444	3L	326150	441249	78.03	PcG
445	3L	441250	541549	74.53	Null
446	3L	541550	604949	63.96	Null
447	3L	604950	650549	57.31	Active
448	3L	650550	834549	91.24	Active
449	3L	834550	1296549	124	Null
450	3L	1296550	1332849	53.11	Active
451	3L	1332850	1351249	42.35	Active
452	3L	1351250	1488849	82.81	PcG
453	3L	1488850	1574549	70.72	Active
454	3L	1574550	1668949	73.04	Active
455	3L	1668950	1856249	91.78	Active
456	3L	1856250	1883149	48.06	Active
457	3L	1883150	1971249	71.38	PcG
458	3L	1971250	2376049	118.66	Null
459	3L	2376050	2466449	71.99	Null
460	3L	2466450	2554849	71.46	Null
461	3L	2554850	2587049	51.03	Null
462	3L	2587050	2635049	58.3	Active
463	3L	2635050	2766049	81.47	Null
464	3L	2766050	2851649	70.69	Active
465	3L	2851650	3035549	91.22	Null
466	3L	3035550	3091449	61.33	Active
467	3L	3091450	3144649	60.33	Null
468	3L	3144650	3224349	69.03	Active
469	3L	3224350	3239949	40.08	Active
470	3L	3239950	3304049	64.2	Null
471	3L	3304050	3376849	66.98	Active
472	3L	3376850	3516149	83.15	Null
473	3L	3516150	3617549	74.8	Null
474	3L	3617550	3764149	84.58	Null
475	3L	3764150	3896149	81.67	PcG
476	3L	3896150	4102549	94.8	Null
477	3L	4102550	4138449	52.92	Active
478	3L	4138450	4240549	74.97	PcG
479	3L	4240550	4260249	43.32	Active
480	3L	4260250	4313849	60.48	Active
481	3L	4313850	4365549	59.76	Null
482	3L	4365550	4405249	54.72	Null
483	3L	4405250	4625149	96.82	Null
484	3L	4625150	4838949	95.92	Null
485	3L	4838950	5127149	105.96	Null
486	3L	5127150	5362149	98.99	Null
487	3L	5362150	5503649	83.59	Null
488	3L	5503650	5557649	60.63	Null
489	3L	5557650	5601049	56.37	Active
490	3L	5601050	5744949	84.06	Null
491	3L	5744950	5805049	62.83	Active
492	3L	5805050	5863149	62.13	PcG
493	3L	5863150	6490049	137.29	Null
494	3L	6490050	6541549	59.68	Null
495	3L	6541550	6751349	95.31	Null
496	3L	6751350	6937149	91.53	PcG
497	3L	6937150	6973149	52.96	Active
498	3L	6973150	6989549	40.75	PcG
499	3L	6989550	7085349	73.4	Null
500	3L	7085350	7149149	64.1	Null
501	3L	7149150	7230049	69.38	Null
502	3L	7230050	7243549	38.19	Active
503	3L	7243550	7316449	67.01	Null
504	3L	7316450	7372849	61.52	Active
505	3L	7372850	7807849	121.54	Null
506	3L	7807850	7862149	60.74	Null
507	3L	7862150	7904649	55.98	Null
508	3L	7904650	7928549	46.2	Active
509	3L	7928550	7969149	55.13	PcG
510	3L	7969150	8170349	93.99	Null
511	3L	8170350	8192549	45.08	Active
512	3L	8192550	8291249	74.13	Null
513	3L	8291250	8309149	41.96	Active
514	3L	8309150	8332449	45.81	Null
515	3L	8332450	8353849	44.53	Active
516	3L	8353850	8399249	57.22	Null
517	3L	8399250	8418549	43.03	Active
518	3L	8418550	8570449	85.59	Active
519	3L	8570450	8595049	46.65	Null
520	3L	8595050	8710449	78.1	PcG
521	3L	8710450	8946449	99.13	Null
522	3L	8946450	8991849	57.22	Active
523	3L	8991850	9041649	59.02	PcG
524	3L	9041650	9130449	71.56	Null
525	3L	9130450	9326549	93.19	Null
526	3L	9326550	9353349	48	Null
527	3L	9353350	9395349	55.76	Active
528	3L	9395350	9420849	47.21	Active
529	3L	9420850	9481649	63.07	Active
530	3L	9481650	9503549	44.88	Null
531	3L	9503550	9689549	91.56	Null
532	3L	9689550	9721749	51.03	Active
533	3L	9721750	9753049	50.55	Active
534	3L	9753050	9830849	68.48	Null
535	3L	9830850	9849049	42.19	Active
536	3L	9849050	9895749	57.76	Active
537	3L	9895750	10219149	110.1	Null
538	3L	10219150	10623449	118.61	Null
539	3L	10623450	10654649	50.5	Active
540	3L	10654650	10691149	53.21	Active
541	3L	10691150	10859749	88.62	Null
542	3L	10859750	10893049	51.61	Active
543	3L	10893050	11113049	96.83	PcG
544	3L	11113050	11204449	72.26	Active
545	3L	11204450	11239749	52.62	Null
546	3L	11239750	11424349	91.33	Null
547	3L	11424350	11483549	62.52	Null
548	3L	11483550	11555149	66.61	Null
549	3L	11555150	11603349	58.38	Null
550	3L	11603350	11623849	43.9	HP1_centromeric
551	3L	11623850	11677049	60.33	Null
552	3L	11677050	11703049	47.52	Active
553	3L	11703050	11764849	63.42	Null
554	3L	11764850	11828149	63.93	Active
555	3L	11828150	11996349	88.55	Null
556	3L	11996350	12110449	77.8	Null
557	3L	12110450	12263949	85.89	Active
558	3L	12263950	12408949	84.27	PcG
559	3L	12408950	12462149	60.33	PcG
560	3L	12462150	12528849	65.05	Active
561	3L	12528850	12726749	93.48	PcG
562	3L	12726750	12797949	66.48	Null
563	3L	12797950	12828049	49.9	Active
564	3L	12828050	12998349	88.91	Null
565	3L	12998350	13014649	40.67	Active
566	3L	13014650	13037949	45.81	Active
567	3L	13037950	13382549	112.46	Null
568	3L	13382550	13479649	73.73	PcG
569	3L	13479650	13995649	128.66	Null
570	3L	13995650	14045749	59.13	Active
571	3L	14045750	14183649	82.87	PcG
572	3L	14183650	14204649	44.25	Null
573	3L	14204650	14531249	110.47	Null
574	3L	14531250	14555149	46.2	Active
575	3L	14555150	14622249	65.18	PcG
576	3L	14622250	14666149	56.59	Null
577	3L	14666150	14753949	71.29	Null
578	3L	14753950	14798349	56.8	Active
579	3L	14798350	14974549	89.93	Null
580	3L	14974550	15007149	51.24	Active
581	3L	15007150	15087249	69.15	PcG
582	3L	15087250	15135849	58.54	Active
583	3L	15135850	15155849	43.54	Active
584	3L	15155850	15490249	111.34	Null
585	3L	15490250	15516749	47.82	Active
586	3L	15516750	15549049	51.08	Null
587	3L	15549050	15582549	51.71	Active
588	3L	15582550	15801049	96.61	Null
589	3L	15801050	15830549	49.56	Active
590	3L	15830550	15947449	78.43	Null
591	3L	15947450	16005349	62.06	Active
592	3L	16005350	16030949	47.28	PcG
593	3L	16030950	16044549	38.29	Active
594	3L	16044550	16122849	68.62	Active
595	3L	16122850	16372449	101	Null
596	3L	16372450	16405549	51.5	Active
597	3L	16405550	16488949	70.08	Null
598	3L	16488950	16567749	68.77	Null
599	3L	16567750	16609049	55.45	Active
600	3L	16609050	16641549	51.19	Null
601	3L	16641550	16705849	64.26	Null
602	3L	16705850	16800949	73.22	Null
603	3L	16800950	16834549	51.76	Null
604	3L	16834550	16859349	46.78	Active
605	3L	16859350	16947149	71.29	Null
606	3L	16947150	17008249	63.18	Active
607	3L	17008250	17048649	55.04	Active
608	3L	17048650	17427849	116.1	Null
609	3L	17427850	17468649	55.22	Null
610	3L	17468650	17551949	70.05	Active
611	3L	17551950	17590349	54.12	Null
612	3L	17590350	17614049	46.08	Null
613	3L	17614050	17837449	97.33	Null
614	3L	17837450	17904249	65.09	Active
615	3L	17904250	18015849	77.23	Null
616	3L	18015850	18105749	71.86	Null
617	3L	18105750	18454949	112.96	PcG
618	3L	18454950	18614849	87.06	Null
619	3L	18614850	18660449	57.31	Null
620	3L	18660450	18677249	41.08	Active
621	3L	18677250	18739949	63.73	Null
622	3L	18739950	18814649	67.56	Null
623	3L	18814650	18841249	47.88	Null
624	3L	18841250	18862449	44.39	PcG
625	3L	18862450	18891849	49.51	Null
626	3L	18891850	18988949	73.73	Null
627	3L	18988950	19056549	65.34	Null
628	3L	19056550	19087549	50.39	Active
629	3L	19087550	19244849	86.59	Null
630	3L	19244850	19256949	36.82	Active
631	3L	19256950	19578449	109.89	Null
632	3L	19578450	19637549	62.48	Active
633	3L	19637550	19679749	55.85	PcG
634	3L	19679750	19785649	75.89	Null
635	3L	19785650	19889649	75.43	Active
636	3L	19889650	19902349	37.42	HP1_centromeric
637	3L	19902350	19921949	43.25	Active
638	3L	19921950	19999449	68.39	Null
639	3L	19999450	20023449	46.27	HP1_centromeric
640	3L	20023450	20337949	109.08	Null
641	3L	20337950	20466849	81.03	Active
642	3L	20466850	20511749	57.01	Active
643	3L	20511750	20534649	45.55	Active
644	3L	20534650	20761849	97.88	PcG
645	3L	20761850	20779349	41.64	Active
646	3L	20779350	21022049	100.06	Null
647	3L	21022050	21169649	84.77	Null
648	3L	21169650	21274749	75.7	Null
649	3L	21274750	21438749	87.8	Null
650	3L	21438750	21478549	54.77	PcG
651	3L	21478550	21547649	65.82	Active
652	3L	21547650	21816549	103.54	PcG
653	3L	21816550	21835349	42.65	Active
654	3L	21835350	21948849	77.66	Null
655	3L	21948850	22070049	79.38	Null
656	3L	22070050	22708049	138.09	HP1_centromeric
657	3L	22708050	22857349	85.1	Active
658	3L	22857350	23347949	126.51	HP1_centromeric
659	3L	23347950	23788649	122.07	HP1_centromeric
