TAD_ID,Genomic length of genes
1126,53190
1127,37337
1128,19173
1129,53133
1130,22297
1131,159062
1132,3003
1133,149932
1134,68078
1135,9216
1136,40910
1137,1824
1138,39977
1139,71964
1140,238147
1141,20597
1142,44055
1143,109879
1144,69399
1145,8620
1146,50830
1147,50437
1148,45429
1149,232663
1150,178181
1151,27586
1152,153504
1153,33481
1154,15302
1155,27296
1156,42659
1157,52320
1158,13528
1159,47007
1160,69718
1161,13308
1162,71637
1163,82514
1164,39376
1165,187477
1166,53372
1167,57916
1168,21106
1169,57327
